shipmentId;districtName;townName;;;;;
0b319af9-7e98-4006-8167-38cd5fc28df4;RETIRO;RETIRO;;;;;
833a3b02-0753-4bcd-864b-c5dc9a25ff8c;ANCUD;ANCUD - ANCUD;;;;;
603264ae-4bc2-4717-99c7-7dac104b0fd5;ALGARROBO;ALGARROBO - ALGARROBO;;;;;
68d71923-a954-4f14-a3c2-d7ec29a12f15;ALTO BIOBÍO;ALTO BIOBÍO;;;;;
c5a9d708-4d37-4da4-b910-3f7355ff5b18;MARÍA PINTO;MARÍA PINTO;;;;;
d139d5b3-46e9-4fc5-8bf0-38aa19658ce6;ALGARROBO;ALGARROBO - ALGARROBO;;;;;
ccac3500-484b-4e68-9144-c7d4caabb646;PEÑALOLÉN;;;;;;
4afc0c14-40d0-48ad-8320-0df1d1249a20;OLMUÉ;OLMUÉ;;;;;
64854910-645d-4afd-8d5c-473a55e109fb;SAN RAFAEL;SAN RAFAEL;;;;;
a4bb3ca5-eb9f-45a7-a1cb-69dc1b6db6e1;MOSTAZAL;MOSTAZAL - MOSTAZAL;;;;;
be8692aa-ffcc-4090-99be-15df81576668;TENO;TENO;;;;;
9244c766-6d53-46b4-b35b-1a26644baa6c;VILLA ALEMANA;VILLA ALEMANA - VILLA ALEMANA;;;;;
acafe418-15cc-4d3d-a27a-683c8f93a6ea;ALTO BIOBÍO;ALTO BIOBÍO;;;;;
869338c0-3b6e-42cc-8544-6ed245055896;SAN FELIPE;SAN FELIPE;;;;;
82312bff-ec59-4d74-ad32-85cc6cab2ba9;LOS LAGOS;LOS LAGOS - ANTILHUE;;;;;
f523ad03-3c1a-4933-8100-ec616782fb27;PUNTA ARENAS;PUNTA ARENAS;;;;;
06fc3d83-886f-498d-a896-a427aa848381;ZAPALLAR;ZAPALLAR - CATAPILCO;;;;;
2b582fe8-e8d8-4011-a9c6-49cf7071fe68;ESTACIÓN CENTRAL;;;;;;
b5a56df4-2607-448c-a9b9-ba18ef8b2c26;INDEPENDENCIA;;;;;;
00e0c422-e551-40bb-87e6-4e0b398a49c5;INDEPENDENCIA;;;;;;
adfee481-a1ea-4b40-aa9e-f542722fed17;LOS ÁNGELES;LOS ÁNGELES - SAN CARLOS DE PUREN;;;;;
2b1076e9-dd29-4a63-bdbc-be27541985b4;ALTO HOSPICIO;ALTO HOSPICIO;;;;;
12c8ee8c-a4f5-4e7a-833e-4d2a6e390e6a;ALHUÉ;ALHUÉ;;;;;
2f91bad3-315f-4c20-93c2-a717f2ca412b;TENO;TENO;;;;;
43b311c9-a525-4a7a-ae1d-8d5c31dc6095;ALHUÉ;ALHUÉ;;;;;
3f8ae090-3c80-4de0-ab54-f8d180c0b5d2;QUILICURA;;;;;;
bec6d998-be8d-45ae-859a-efad55eb3610;INDEPENDENCIA;;;;;;
3a43c54d-99ec-49cd-b239-6d2ddeed3469;CHIGUAYANTE;CHIGUAYANTE;;;;;
449e98c8-00a6-4787-a9a1-c1c701503c12;LA FLORIDA;;;;;;
bf11b4b0-fe22-47b3-8a7a-09f4f2a2992c;ALHUÉ;ALHUÉ;;;;;
d38649db-4527-47d9-886b-16447da72dd8;CAUQUENES;CAUQUENES - CAUQUENES;;;;;
3a66e334-17b6-49a1-b2ed-82e246539561;LAS CONDES;;;;;;
16d0e2fe-5b54-4d28-98f7-0acc19841901;PEÑALOLÉN;;;;;;
91388628-d129-4a24-9754-ad05355747b6;ALTO BIOBÍO;ALTO BIOBÍO;;;;;
8c1b440a-0372-40ae-bdbb-ebcdbb499fcd;COLINA;COLINA - CHICUREO;;;;;
45249864-a943-4a2c-a8d2-930a6308c648;VILLARRICA;VILLARRICA - LICAN RAY;;;;;
25a971f2-e9c9-4ca3-859f-1bc8bbe53ebd;PUMANQUE;PUMANQUE;;;;;
40316980-c79a-40ed-9892-66785aec37b9;ÑUÑOA;;;;;;
515fe199-b996-4a96-a48c-9b46e9b1d05e;PUNTA ARENAS;PUNTA ARENAS;;;;;
b6a39ee5-698d-431f-aec1-dca0c4bbf698;EL MONTE;EL MONTE;;;;;
4035f7c2-6e36-4a2b-ae51-36f0589b5b85;LA FLORIDA;;;;;;
d4821121-a81c-424b-8917-12f456132fbb;PUNTA ARENAS;PUNTA ARENAS;;;;;
eb0d293b-f2a6-4df4-b0b3-dc67c212a524;ÑUÑOA;;;;;;
98fa1a5b-d2df-432f-9e57-a022eb50ccb3;ALHUÉ;ALHUÉ;;;;;
b9257758-9c09-40da-bba6-44070d598edd;CHIGUAYANTE;CHIGUAYANTE;;;;;
cb9b0ac5-05a0-4b05-a0a4-340b6c004d5f;ALHUÉ;ALHUÉ;;;;;
0ac8df75-6f2f-4502-a520-e1c8ceba5ea4;RENCA;;;;;;
0cf2cb3b-a2d7-487d-af08-5dbc66ea1178;CHIGUAYANTE;CHIGUAYANTE;;;;;
cd7c7723-0425-4b5f-b495-3d1103c596ed;MAIPÚ;;;;;;
3fca62f0-f7a8-4f59-9242-872dc8b3fd3a;PEDRO AGUIRRE CERDA;;;;;;
55f5dc72-ff2a-418c-8eda-9ffa7d9836c9;HUALPÉN;HUALPÉN - HUALPÉN;;;;;
7d73c148-b59b-4dc7-89cc-874955978f78;PUDAHUEL;PUDAHUEL - PUDAHUEL;;;;;
66da0020-4e43-46e8-b628-6e30aac10789;MAIPÚ;;;;;;
72cbe416-8b6e-4dde-acb8-f2854ed31122;LAMPA;LAMPA - BATUCO;;;;;
55dcefdd-12b8-4148-8706-d55cd8ace2a9;MAIPÚ;;;;;;
2b1d2dfa-7b28-4acc-9d98-1d104d5a61c4;MAIPÚ;;;;;;
c1797adb-d668-4949-b627-28886b49f2c5;PUNTA ARENAS;PUNTA ARENAS;;;;;
1e4c9b71-aefe-4998-9dca-4c12924c3951;MAIPÚ;;;;;;
d8449392-76ff-41b7-a647-fe1928350e50;MAIPÚ;;;;;;
6cde8b1d-3819-4a40-aa35-f4dcd6831341;PEÑALOLÉN;;;;;;
a2df6d01-e811-40ab-941f-0b8935b9fcde;MAIPÚ;;;;;;
d585aa10-7cc8-4510-ad61-eec5d5f68f35;LA FLORIDA;;;;;;
dadc7ba2-9094-4e36-bac0-f2ceaad579b3;MAIPÚ;;;;;;
8537533d-e3dd-4de2-997c-04389687a981;CHILLÁN;CHILLÁN - QUINCHAMALÍ;;;;;
65dcefd9-4ee6-41d8-8731-27653512f998;PEÑALOLÉN;;;;;;
b180c8dd-75f1-4891-9c5e-341dfac66859;PEÑALOLÉN;;;;;;
5d1730a6-9119-4214-8859-02b808f57c39;RENCA;;;;;;
2e475fde-4be1-4a91-bd5d-3bd88adf310a;MAIPÚ;;;;;;
c95deb99-7d48-4372-80d5-e4798d2abbe5;MAIPÚ;;;;;;
0cbed80f-e861-4491-8709-c583cc1bf7d6;MACUL;;;;;;
5dcee817-0e89-4da8-9237-125a38663762;ESTACIÓN CENTRAL;;;;;;
de3bb907-93ee-439f-bcea-d30d570f6387;EL BOSQUE;;;;;;
d8e1c67a-3ba1-4f20-aa52-b3210cf9ac12;RANCAGUA;RANCAGUA;;;;;
40ec69ff-a9f2-4b43-8479-3f7aadb5bee4;PADRE LAS CASAS;PADRE LAS CASAS - SAN RAMÓN;;;;;
2ba5da19-e6d7-48c1-9be4-ddac9727a68e;CHÉPICA;CHÉPICA;;;;;
3021bf57-8334-439d-a386-adf8990252c6;TEMUCO;TEMUCO - LABRANZA;;;;;
396702fe-1392-43c0-8b95-64543bff8d40;LA GRANJA;;;;;;
